账号,设计组,状态,可安排时间,类型,日容量,模型,并发数,日成本,单次成本,计费模式,订阅费用,订阅周期,预估次数,本月已跑次数
设计师A,视觉组,在职,,human,,,,800,,,,
设计师B,视觉组,在职,,human,,,,800,,,,
设计师C,视觉组,在职,,human,,,,800,,,,
设计师D,动效组,在职,,human,,,1,900,,,,
设计师E,动效组,在职,,human,,,1,900,,,,
设计师F,交互组,在职,,human,,,1,750,,,,
文案Agent,AI组,在职,,ai,24,claude-sonnet-4,2,,0.35,按次,,
初稿Agent,AI组,在职,,ai,24,gpt-5,3,,1.2,按次,,
批量切图Agent,AI组,在职,,ai,48,flux-1.1-pro,4,,0.08,按次,,
出图Agent,AI组,在职,,ai,24,midjourney-v6,2,,,订阅,68,月,200,80
设计师G,视觉组,已离职,,human,,,,800,,,,
设计师H,动效组,已离职,,human,,,,800,,,,
